Anel, Ego, SxEgo, Alter, SxAlter, Percurso, BarryPercurso, Parente, Casal, Geração, Lateral, Cnx
1, 1007, m, 1006, f, 1007 1105 1006 , m1007 (m1105) f1006 , FD, 1006 1007, G0, 1, 2
2, 1008, m, 1011, f, 1008 1001 1011 , m1008 (m1001) f1011 , FD, 1008 1011, G0, 1, 2
3, 1008, m, 1011, f, 1008 1002 1011 , m1008 (f1002) f1011 , MD, 1008 1011, G0, 1, 2
4, 1013, m, 1018, f, 1013 1004 1018 , m1013 (f1004) f1018 , MD, 1013 1018, G0, 1, 2
5, 1013, m, 1040, f, 1013 1003 1014 1040 , m1013 (m1003) f1014 f1040 , FDD, 1013 1040, G-1, 1, 3
6, 1013, m, 1040, f, 1013 1004 1014 1040 , m1013 (f1004) f1014 f1040 , MDD, 1013 1040, G-1, 1, 3
7, 1016, m, 1044, f, 1016 1004 1015 1044 , m1016 (f1004) f1015 f1044 , MDD, 1016 1044, G-1, 1, 3
8, 1016, m, 1044, f, 1016 1007 1105 1005 1044 , m1016 m1007 (m1105) m1005 f1044 , FFSD, 1016 1044, G0, 2, 4
9, 1016, m, 1056, f, 1016 1004 1015 1043 1056 , m1016 (f1004) f1015 m1043 f1056 , MDSD, 1016 1056, G-2, 1, 4
10, 1016, m, 1056, f, 1016 1007 1105 1005 1043 1056 , m1016 m1007 (m1105) m1005 m1043 f1056 , FFSSD, 1016 1056, G-1, 2, 5
11, 1017, m, 1022, f, 1017 1007 1022 , m1017 (m1007) f1022 , FD, 1017 1022, G0, 1, 2
12, 1019, m, 1070, f, 1019 1007 1016 1070 , m1019 (m1007) m1016 f1070 , FSD, 1019 1070, G-1, 1, 3
13, 1019, m, 1070, f, 1019 1006 1105 1005 1044 1070 , m1019 f1006 (m1105) m1005 f1044 f1070 , MFSDD, 1019 1070, G-1, 2, 5
14, 1019, m, 1070, f, 1019 1006 1105 1007 1016 1070 , m1019 f1006 (m1105) m1007 m1016 f1070 , MFSSD, 1019 1070, G-1, 2, 5
15, 1019, m, 1070, f, 1019 1007 1105 1005 1044 1070 , m1019 m1007 (m1105) m1005 f1044 f1070 , FFSDD, 1019 1070, G-1, 2, 5
16, 1019, m, 1080, f, 1019 1007 1016 1080 , m1019 (m1007) m1016 f1080 , FSD, 1019 1080, G-1, 1, 3
17, 1019, m, 1080, f, 1019 1006 1105 1007 1016 1080 , m1019 f1006 (m1105) m1007 m1016 f1080 , MFSSD, 1019 1080, G-1, 2, 5
