Anel, Ego, SxEgo, Alter, SxAlter, Percurso, BarryPercurso, Parente, Casal, Geração, Lateral, Cnx
1, 2032, m, 2037, f, 2032 2015 2012 2842 2836 2437 2438 2037 , m2032 m2015 m2012 (m2842) f2836 f2437 m2438 f2037 , FFFDDSD, 2032 2037, G-1, 3, 7
2, 2032, m, 2037, f, 2032 2015 2012 2843 2836 2437 2438 2037 , m2032 m2015 m2012 (f2843) f2836 f2437 m2438 f2037 , FFMDDSD, 2032 2037, G-1, 3, 7
3, 2033, m, 2038, f, 2033 2015 2012 2842 2836 2437 2438 2038 , m2033 m2015 m2012 (m2842) f2836 f2437 m2438 f2038 , FFFDDSD, 2033 2038, G-1, 3, 7
4, 2033, m, 2038, f, 2033 2015 2012 2843 2836 2437 2438 2038 , m2033 m2015 m2012 (f2843) f2836 f2437 m2438 f2038 , FFMDDSD, 2033 2038, G-1, 3, 7
5, 2457, m, 2035, f, 2457 2438 2437 2836 2842 2012 2015 2035 , m2457 m2438 f2437 f2836 (m2842) m2012 m2015 f2035 , FMMFSSD, 2035 2457, G1, 3, 7
6, 2457, m, 2035, f, 2457 2438 2437 2836 2843 2012 2015 2035 , m2457 m2438 f2437 f2836 (f2843) m2012 m2015 f2035 , FMMMSSD, 2035 2457, G1, 3, 7
7, 2097, m, 2052, f, 2097 2005 2045 2047 2052 , m2097 f2005 (m2045) m2047 f2052 , MFSD, 2052 2097, G0, 2, 4
8, 2097, m, 2052, f, 2097 2005 2046 2047 2052 , m2097 f2005 (f2046) m2047 f2052 , MMSD, 2052 2097, G0, 2, 4
9, 2063, m, 2070, f, 2063 2050 2047 2045 2005 2095 2107 2070 , m2063 m2050 m2047 (m2045) f2005 f2095 f2107 f2070 , FFFDDDD, 2063 2070, G-1, 3, 7
10, 2063, m, 2070, f, 2063 2050 2047 2046 2005 2095 2107 2070 , m2063 m2050 m2047 (f2046) f2005 f2095 f2107 f2070 , FFMDDDD, 2063 2070, G-1, 3, 7
11, 2077, m, 3025, f, 2077 2052 2047 2045 2005 2002 2139 3025 , m2077 f2052 m2047 (m2045) f2005 f2002 f2139 f3025 , MFFDDDD, 2077 3025, G-1, 3, 7
12, 2077, m, 3025, f, 2077 2052 2047 2046 2005 2002 2139 3025 , m2077 f2052 m2047 (f2046) f2005 f2002 f2139 f3025 , MFMDDDD, 2077 3025, G-1, 3, 7
13, 2115, m, 2351, f, 2115 2351 , m2115 (f2351) , M, 2115 2351, G1, 0, 1
14, 2187, m, 2183, f, 2187 2265 6985 2174 2173 2183 , m2187 f2265 (m6985) m2174 f2173 f2183 , MFSDD, 2183 2187, G-1, 2, 5
15, 2187, m, 2183, f, 2187 2265 6986 2174 2173 2183 , m2187 f2265 (f6986) m2174 f2173 f2183 , MMSDD, 2183 2187, G-1, 2, 5
16, 2533, m, 2310, f, 2533 2530 2798 2960 2312 2310 , m2533 f2530 (f2798) f2960 f2312 f2310 , MMDDD, 2310 2533, G-1, 2, 5
17, 2372, m, 2502, f, 2372 2360 2527 2526 2607 2605 2499 2497 2502 , m2372 f2360 m2527 f2526 (m2607) f2605 f2499 f2497 f2502 , MFMFDDDD, 2372 2502, G0, 4, 8
18, 2372, m, 2502, f, 2372 2360 2527 2526 6117 2605 2499 2497 2502 , m2372 f2360 m2527 f2526 (f6117) f2605 f2499 f2497 f2502 , MFMMDDDD, 2372 2502, G0, 4, 8
19, 2373, m, 2376, f, 2373 2360 2527 2526 2607 2605 2219 2461 2376 , m2373 f2360 m2527 f2526 (m2607) f2605 m2219 f2461 f2376 , MFMFDSDD, 2373 2376, G0, 4, 8
20, 2373, m, 2376, f, 2373 2360 2527 2526 6117 2605 2219 2461 2376 , m2373 f2360 m2527 f2526 (f6117) f2605 m2219 f2461 f2376 , MFMMDSDD, 2373 2376, G0, 4, 8
21, 2373, m, 2543, f, 2373 2360 2527 2526 2607 2605 2219 2461 2543 , m2373 f2360 m2527 f2526 (m2607) f2605 m2219 f2461 f2543 , MFMFDSDD, 2373 2543, G0, 4, 8
22, 2373, m, 2543, f, 2373 2360 2527 2526 6117 2605 2219 2461 2543 , m2373 f2360 m2527 f2526 (f6117) f2605 m2219 f2461 f2543 , MFMMDSDD, 2373 2543, G0, 4, 8
23, 2424, m, 2568, f, 2424 2417 2551 6663 6511 2993 2570 2568 , m2424 f2417 f2551 (m6663) f6511 m2993 f2570 f2568 , MMFDSDD, 2424 2568, G-1, 3, 7
24, 2424, m, 2568, f, 2424 2417 2551 6664 6511 2993 2570 2568 , m2424 f2417 f2551 (f6664) f6511 m2993 f2570 f2568 , MMMDSDD, 2424 2568, G-1, 3, 7
25, 2492, m, 2491, f, 2492 2478 2474 2475 2202 2195 2206 2491 , m2492 m2478 m2474 (m2475) m2202 f2195 f2206 f2491 , FFFSDDD, 2491 2492, G-1, 3, 7
26, 2492, m, 2491, f, 2492 2478 2474 2476 2202 2195 2206 2491 , m2492 m2478 m2474 (f2476) m2202 f2195 f2206 f2491 , FFMSDDD, 2491 2492, G-1, 3, 7
27, 2503, m, 2508, f, 2503 2497 2498 6220 6987 2962 2173 2363 2508 , m2503 f2497 m2498 m6220 (m6987) f2962 f2173 m2363 f2508 , MFFFDDSD, 2503 2508, G0, 4, 8
28, 2503, m, 2508, f, 2503 2497 2498 6220 6988 2962 2173 2363 2508 , m2503 f2497 m2498 m6220 (f6988) f2962 f2173 m2363 f2508 , MFFMDDSD, 2503 2508, G0, 4, 8
29, 3212, m, 5025, f, 3212 5025 , m3212 (f5025) , M, 3212 5025, G1, 0, 1
30, 4018, m, 4020, f, 4018 4020 , m4018 (f4020) , M, 4018 4020, G1, 0, 1
