Numero, Cor
1001, 0
1002, 1
1003, 2
1004, 3
1005, 6
1006, 8
1007, 10
1008, 12
1009, 14
1010, 16
1011, 18
1012, 22
1013, 24
1014, 26
1015, 28
1016, 30
1017, 32
1018, 34
1019, 36
1020, 37
1021, 38
1022, 38
1023, 38
1024, 40
1025, 38
1026, 41
1027, 41
1028, 41
1029, 41
1030, 41
1031, 43
1032, 44
1033, 44
1034, 44
1035, 44
1036, 44
1037, 44
1038, 46
1039, 47
1040, 47
1041, 47
1042, 48
1043, 50
1044, 52
1045, 54
1046, 55
1047, 44
1048, 44
1049, 56
1050, 57
1051, 57
1052, 57
1053, 57
1054, 58
1055, 58
1056, 59
1057, 59
1058, 59
1059, 59
1060, 61
1061, 62
1062, 62
1063, 62
1064, 62
1065, 62
1066, 62
1067, 63
1068, 63
1069, 63
1070, 64
1071, 64
1073, 65
1074, 65
1075, 65
1076, 65
1077, 65
1078, 65
1079, 66
1080, 66
1081, 67
1082, 67
1083, 68
1084, 69
1085, 70
1086, 70
1087, 71
1088, 71
1089, 71
1090, 71
1091, 72
1092, 72
1093, 72
1094, 72
1095, 72
1096, 73
1097, 73
1100, 74
1101, 75
1102, 75
1103, 75
1104, 76
1105, 5
1106, 77
1107, 79
1108, 80
1109, 80
1110, 80
1111, 82
1112, 80
1113, 80
1114, 82
1115, 82
1116, 80
1117, 80
1118, 82
1119, 80
1120, 82
1121, 80
1122, 82
1123, 80
1124, 82
1125, 82
1126, 80
1127, 80
1128, 80
1129, 80
1130, 82
1131, 82
1132, 80
1133, 80
1134, 80
1135, 82
1136, 80
1137, 80
1138, 80
1139, 80
1140, 80
1141, 82
1142, 80
1143, 82
1144, 80
1145, 80
1146, 80
1147, 80
1148, 80
1149, 80
1150, 80
1151, 80
1152, 80
1153, 82
1154, 82
1155, 80
1156, 80
1157, 80
1158, 82
1159, 80
1160, 82
1161, 82
1162, 80
1163, 80
1164, 80
1165, 82
1166, 82
1167, 80
1168, 80
1169, 82
1170, 82
1171, 80
1172, 82
1173, 80
1174, 82
1175, 82
1176, 80
1177, 80
1178, 80
1179, 80
1180, 80
1181, 80
1182, 82
1183, 82
1184, 80
1185, 80
1186, 82
1187, 80
1188, 82
1189, 80
1190, 82
1191, 80
1192, 80
1193, 82
1194, 83
1195, 83
1196, 83
1197, 83
1201, 83
1203, 20
1204, 21
1205, 56
1216, 84
1226, 58
1228, 69
1229, 69
1230, 69
1233, 56
1239, 85
1240, 57
1247, 86
1250, 87
1251, 63
1252, 84
1256, 84
1257, 74
1258, 59
1259, 88
1261, 71
1264, 69
1265, 68
1267, 89
1268, 89
1271, 90
1278, 91
1279, 76
1280, 76
1281, 76
1296, 85
1354, 58
1355, 58
1367, 89
1368, 89
1369, 89
1370, 89
1371, 89
1372, 63
1375, 89
1376, 63
1377, 92
1378, 93
1379, 93
1380, 90
1381, 94
1382, 94
1383, 94
1384, 95
1385, 96
1386, 91
1387, 97
1388, 97
1389, 69
1390, 83
1391, 83
1392, 75
1393, 56
1394, 56
1395, 56
1396, 56
1397, 56
1398, 98
1399, 94
1400, 98
1401, 94
1402, 98
1403, 94
1404, 58
1405, 58
1406, 58
1407, 58
1408, 95
1409, 90
1410, 90
1411, 95
1412, 90
1413, 90
1414, 95
1415, 99
1416, 99
1417, 71
1418, 100
1419, 100
1420, 75
1421, 44
1422, 44
1423, 44
1424, 101
1425, 86
1426, 86
1427, 70
1428, 70
1429, 70
1430, 70
1431, 102
1432, 103
1433, 59
1434, 74
1435, 104
1436, 104
1437, 87
1438, 74
1439, 71
1440, 71
1441, 105
1442, 105
1443, 105
1444, 69
1445, 106
1446, 106
1447, 107
1448, 107
1449, 76
1450, 88
1451, 88
1452, 88
1453, 88
1454, 108
1455, 108
1456, 63
1457, 108
1458, 44
1459, 88
1460, 88
1461, 109
1462, 69
1463, 110
1464, 110
1465, 110
1466, 110
1467, 69
1468, 110
1469, 111
1470, 111
1471, 111
1472, 111
1473, 91
1474, 91
1475, 63
1476, 63
1477, 63
1478, 63
1479, 63
1480, 68
1481, 68
1482, 59
1483, 59
1484, 59
1485, 59
1486, 59
1487, 112
1488, 112
1489, 112
1490, 112
1491, 113
1492, 85
1493, 85
1494, 85
1495, 85
1496, 114
1497, 114
1498, 114
1499, 69
1501, 102
1502, 102
1503, 71
1504, 71
1505, 71
1506, 71
1507, 115
1508, 116
1509, 115
1510, 115
1511, 115
1512, 85
1513, 116
1514, 116
1515, 117
1516, 116
1517, 91
1518, 114
1519, 118
1520, 105
1521, 58
1522, 103
1523, 59
1524, 86
1525, 119
1526, 119
1527, 119
1528, 119
1529, 109
1530, 109
1531, 109
