Numero, Cor
1001, 0
1002, 1
1003, 0
1004, 2
1005, 0
1006, 3
1007, 0
1008, 1
1009, 5
1010, 7
1011, 9
1012, 10
1013, 2
1014, 12
1015, 14
1016, 2
1017, 2
1018, 16
1019, 3
1020, 3
1021, 5
1022, 5
1023, 5
1024, 5
1025, 5
1026, 5
1027, 5
1028, 5
1029, 5
1030, 5
1031, 18
1032, 9
1033, 9
1034, 9
1035, 9
1036, 9
1037, 9
1038, 12
1039, 12
1040, 12
1041, 12
1042, 7
1043, 14
1044, 20
1045, 22
1046, 14
1047, 9
1048, 9
1049, 9
1050, 12
1051, 12
1052, 12
1053, 12
1054, 5
1055, 5
1056, 18
1057, 18
1058, 18
1059, 18
1060, 24
1061, 16
1062, 16
1063, 16
1064, 16
1065, 16
1066, 16
1067, 12
1068, 12
1069, 12
1070, 20
1071, 20
1073, 22
1074, 22
1075, 22
1076, 22
1077, 22
1078, 22
1079, 5
1080, 5
1081, 24
1082, 24
1083, 16
1084, 5
1085, 5
1086, 5
1087, 16
1088, 16
1089, 16
1090, 16
1091, 20
1092, 20
1093, 20
1094, 20
1095, 20
1096, 5
1097, 5
1100, 18
1101, 22
1102, 22
1103, 22
1104, 5
1105, 0
1106, 0
1107, 26
1108, 26
1109, 26
1110, 26
1111, 28
1112, 26
1113, 26
1114, 28
1115, 28
1116, 26
1117, 26
1118, 28
1119, 26
1120, 28
1121, 26
1122, 28
1123, 26
1124, 28
1125, 28
1126, 26
1127, 26
1128, 26
1129, 26
1130, 28
1131, 28
1132, 26
1133, 26
1134, 26
1135, 28
1136, 26
1137, 26
1138, 26
1139, 26
1140, 26
1141, 28
1142, 26
1143, 28
1144, 26
1145, 26
1146, 0
1147, 26
1148, 26
1149, 26
1150, 26
1151, 0
1152, 26
1153, 28
1154, 26
1155, 0
1156, 26
1157, 26
1158, 28
1159, 26
1160, 26
1161, 26
1162, 26
1163, 0
1164, 26
1165, 26
1166, 28
1167, 26
1168, 26
1169, 28
1170, 28
1171, 0
1172, 26
1173, 26
1174, 26
1175, 26
1176, 26
1177, 26
1178, 26
1179, 26
1180, 26
1181, 26
1182, 28
1183, 26
1184, 26
1185, 26
1186, 28
1187, 26
1188, 28
1189, 26
1190, 28
1191, 0
1192, 26
1193, 28
1194, 0
1195, 0
1196, 0
1197, 0
1201, 0
1203, 0
1204, 10
1205, 9
1216, 18
1226, 5
1228, 5
1229, 5
1230, 5
1233, 9
1239, 5
1240, 12
1247, 9
1250, 12
1251, 12
1252, 18
1256, 18
1257, 18
1258, 18
1259, 18
1261, 16
1264, 5
1265, 16
1267, 12
1268, 12
1271, 20
1278, 22
1279, 5
1280, 5
1281, 5
1296, 5
1354, 5
1355, 5
1367, 12
1368, 12
1369, 12
1370, 12
1371, 12
1372, 12
1375, 12
1376, 12
1377, 12
1378, 20
1379, 20
1380, 20
1381, 9
1382, 9
1383, 9
1384, 20
1385, 22
1386, 22
1387, 5
1388, 5
1389, 5
1390, 0
1391, 0
1392, 22
1393, 9
1394, 9
1395, 9
1396, 9
1397, 9
1398, 12
1399, 22
1400, 12
1401, 22
1402, 12
1403, 22
1404, 5
1405, 5
1406, 5
1407, 5
1408, 20
1409, 20
1410, 20
1411, 20
1412, 20
1413, 20
1414, 20
1415, 18
1416, 18
1417, 12
1418, 12
1419, 12
1420, 22
1421, 9
1422, 9
1423, 9
1424, 9
1425, 9
1426, 9
1427, 5
1428, 5
1429, 5
1430, 5
1431, 18
1432, 18
1433, 18
1434, 18
1435, 5
1436, 5
1437, 0
1438, 18
1439, 12
1440, 12
1441, 5
1442, 5
1443, 5
1444, 5
1445, 5
1446, 5
1447, 5
1448, 5
1449, 5
1450, 18
1451, 18
1452, 18
1453, 18
1454, 18
1455, 18
1456, 0
1457, 18
1458, 9
1459, 18
1460, 18
1461, 5
1462, 5
1463, 20
1464, 20
1465, 20
1466, 20
1467, 5
1468, 20
1469, 22
1470, 22
1471, 22
1472, 22
1473, 22
1474, 22
1475, 12
1476, 12
1477, 12
1478, 12
1479, 12
1480, 16
1481, 16
1482, 18
1483, 18
1484, 18
1485, 18
1486, 18
1487, 18
1488, 18
1489, 18
1490, 18
1491, 9
1492, 5
1493, 5
1494, 5
1495, 5
1496, 5
1497, 5
1498, 5
1499, 5
1501, 18
1502, 18
1503, 12
1504, 12
1505, 12
1506, 12
1507, 20
1508, 12
1509, 20
1510, 20
1511, 20
1512, 5
1513, 5
1514, 5
1515, 12
1516, 12
1517, 22
1518, 5
1519, 12
1520, 5
1521, 5
1522, 18
1523, 18
1524, 9
1525, 18
1526, 18
1527, 18
1528, 18
1529, 5
1530, 5
1531, 5
