Numero, Cor
1001, 0
1002, 1
1003, 2
1004, 1
1005, 5
1006, 4
1007, 7
1008, 9
1009, 0
1010, 0
1011, 0
1012, 12
1013, 14
1014, 2
1015, 2
1016, 16
1017, 18
1018, 7
1019, 20
1020, 7
1021, 7
1022, 7
1023, 7
1024, 22
1025, 7
1026, 18
1027, 18
1028, 18
1029, 18
1030, 18
1031, 9
1032, 9
1033, 9
1034, 9
1035, 9
1036, 9
1037, 9
1038, 24
1039, 5
1040, 5
1041, 5
1042, 14
1043, 26
1044, 5
1045, 5
1046, 5
1047, 9
1048, 9
1049, 12
1050, 14
1051, 14
1052, 14
1053, 14
1054, 24
1055, 24
1056, 26
1057, 26
1058, 26
1059, 26
1060, 14
1061, 14
1062, 14
1063, 14
1064, 14
1065, 14
1066, 14
1067, 14
1068, 14
1069, 14
1070, 16
1071, 16
1073, 9
1074, 9
1075, 9
1076, 9
1077, 9
1078, 9
1079, 16
1080, 16
1081, 24
1082, 24
1083, 5
1084, 14
1085, 20
1086, 20
1087, 5
1088, 5
1089, 5
1090, 5
1091, 20
1092, 20
1093, 20
1094, 20
1095, 20
1096, 26
1097, 26
1100, 7
1101, 12
1102, 12
1103, 12
1104, 14
1105, 4
1106, 27
1107, 0
1108, 27
1109, 27
1110, 27
1111, 27
1112, 27
1113, 27
1114, 27
1115, 27
1116, 27
1117, 27
1118, 27
1119, 27
1120, 27
1121, 27
1122, 27
1123, 27
1124, 27
1125, 27
1126, 27
1127, 1
1128, 1
1129, 27
1130, 27
1131, 27
1132, 27
1133, 1
1134, 27
1135, 27
1136, 27
1137, 27
1138, 27
1139, 27
1140, 1
1141, 1
1142, 27
1143, 27
1144, 27
1145, 27
1146, 27
1147, 27
1148, 27
1149, 27
1150, 27
1151, 27
1152, 1
1153, 27
1154, 27
1155, 27
1156, 27
1157, 27
1158, 1
1159, 27
1160, 27
1161, 27
1162, 27
1163, 27
1164, 27
1165, 27
1166, 27
1167, 27
1168, 27
1169, 1
1170, 27
1171, 27
1172, 27
1173, 1
1174, 27
1175, 27
1176, 27
1177, 1
1178, 1
1179, 27
1180, 1
1181, 1
1182, 1
1183, 27
1184, 1
1185, 1
1186, 1
1187, 1
1188, 27
1189, 1
1190, 27
1191, 27
1192, 27
1193, 27
1194, 1
1195, 1
1196, 1
1197, 1
1201, 1
1203, 11
1204, 1
1205, 12
1216, 16
1226, 24
1228, 14
1229, 14
1230, 14
1233, 12
1239, 5
1240, 14
1247, 9
1250, 7
1251, 14
1252, 16
1256, 16
1257, 7
1258, 5
1259, 24
1261, 5
1264, 14
1265, 5
1267, 9
1268, 9
1271, 7
1278, 14
1279, 14
1280, 14
1281, 14
1296, 5
1354, 24
1355, 24
1367, 9
1368, 9
1369, 9
1370, 9
1371, 9
1372, 14
1375, 9
1376, 14
1377, 9
1378, 14
1379, 14
1380, 7
1381, 9
1382, 9
1383, 9
1384, 7
1385, 14
1386, 14
1387, 9
1388, 9
1389, 14
1390, 1
1391, 1
1392, 12
1393, 12
1394, 12
1395, 1
1396, 9
1397, 9
1398, 9
1399, 9
1400, 9
1401, 9
1402, 9
1403, 9
1404, 24
1405, 24
1406, 24
1407, 24
1408, 7
1409, 7
1410, 7
1411, 7
1412, 7
1413, 7
1414, 7
1415, 18
1416, 18
1417, 5
1418, 9
1419, 9
1420, 12
1421, 9
1422, 9
1423, 1
1424, 14
1425, 9
1426, 9
1427, 20
1428, 20
1429, 20
1430, 20
1431, 14
1432, 20
1433, 5
1434, 7
1435, 20
1436, 20
1437, 7
1438, 1
1439, 5
1440, 1
1441, 26
1442, 26
1443, 26
1444, 1
1445, 14
1446, 14
1447, 14
1448, 14
1449, 1
1450, 24
1451, 24
1452, 24
1453, 24
1454, 14
1455, 14
1456, 14
1457, 14
1458, 9
1459, 24
1460, 9
1461, 14
1462, 14
1463, 14
1464, 14
1465, 14
1466, 14
1467, 14
1468, 14
1469, 14
1470, 14
1471, 14
1472, 14
1473, 14
1474, 14
1475, 14
1476, 14
1477, 14
1478, 14
1479, 14
1480, 5
1481, 5
1482, 5
1483, 5
1484, 5
1485, 5
1486, 5
1487, 5
1488, 5
1489, 5
1490, 5
1491, 5
1492, 5
1493, 5
1494, 5
1495, 5
1496, 5
1497, 5
1498, 5
1499, 1
1501, 14
1502, 14
1503, 5
1504, 5
1505, 5
1506, 5
1507, 5
1508, 5
1509, 5
1510, 5
1511, 5
1512, 5
1513, 14
1514, 14
1515, 20
1516, 5
1517, 1
1518, 7
1519, 20
1520, 24
1521, 24
1522, 20
1523, 5
1524, 1
1525, 14
1526, 14
1527, 14
1528, 14
1529, 14
1530, 14
1531, 14
