Numero, Profundidade Geral, Profundidade Media(Sum(filhos.pm)/filhos), Profundidade Arvore Dominadores
1001, 7, 4, 6
1002, 7, 4, 6
1003, 6, 4, 6
1004, 6, 3, 6
1005, 5, 3, -1
1006, 4, 3, -1
1007, 6, 3, -1
1008, 5, 3, -1
1009, 5, 3, -1
1010, 5, 3, -1
1011, 5, 3, -1
1012, 3, 2, -1
1013, 5, 3, -1
1014, 5, 3, -1
1015, 5, 3, -1
1016, 5, 2, -1
1017, 4, 3, -1
1018, 5, 3, -1
1019, 3, 2, -1
1020, 3, 2, -1
1021, 3, 2, -1
1022, 4, 3, -1
1023, 3, 3, -1
1024, 1, 1, -1
1025, 1, 1, -1
1026, 3, 2, -1
1027, 3, 2, -1
1028, 3, 2, -1
1029, 3, 2, -1
1030, 2, 2, -1
1031, 4, 3, -1
1032, 4, 2, -1
1033, 3, 2, -1
1034, 4, 2, -1
1035, 2, 2, -1
1036, 2, 2, -1
1037, 2, 2, -1
1038, 4, 2, -1
1039, 4, 2, -1
1040, 4, 3, -1
1041, 4, 2, -1
1042, 4, 2, -1
1043, 4, 3, -1
1044, 4, 3, -1
1045, 4, 2, -1
1046, 3, 2, -1
1047, 3, 2, -1
1048, 2, 2, -1
1049, 2, 2, -1
1050, 3, 2, -1
1051, 2, 2, -1
1052, 2, 2, -1
1053, 2, 2, -1
1054, 2, 2, -1
1055, 2, 2, -1
1056, 3, 2, -1
1057, 3, 2, -1
1058, 3, 2, -1
1059, 3, 2, -1
1060, 4, 2, -1
1061, 4, 2, -1
1062, 3, 2, -1
1063, 3, 2, -1
1064, 3, 2, -1
1065, 3, 2, -1
1066, 2, 2, -1
1067, 3, 2, -1
1068, 2, 2, -1
1069, 2, 2, -1
1070, 3, 2, -1
1071, 3, 2, -1
1073, 3, 2, -1
1074, 2, 2, -1
1075, 3, 2, -1
1076, 3, 2, -1
1077, 1, 1, -1
1078, 3, 2, -1
1079, 4, 2, -1
1080, 3, 2, -1
1081, 3, 2, -1
1082, 1, 1, -1
1083, 2, 2, -1
1084, 2, 2, -1
1085, 2, 2, -1
1086, 1, 1, -1
1087, 2, 2, -1
1088, 3, 2, -1
1089, 2, 2, -1
1090, 2, 2, -1
1091, 2, 2, -1
1092, 2, 2, -1
1093, 2, 2, -1
1094, 2, 2, -1
1095, 1, 1, -1
1096, 3, 2, -1
1097, 2, 2, -1
1100, 2, 2, -1
1101, 1, 1, -1
1102, 2, 2, -1
1103, 1, 1, -1
1104, 2, 2, -1
1105, 7, 4, 6
1106, 6, 2, 4
1107, 6, 3, -1
1108, 3, 2, -1
1109, 4, 2, -1
1110, 5, 2, -1
1111, 4, 2, -1
1112, 4, 2, -1
1113, 4, 2, -1
1114, 3, 2, -1
1115, 1, 1, -1
1116, 3, 2, -1
