Nome, Numero_Casamentos, Algoritmo_1_Linear_Sem_Cores, Algoritmo_1_Linear_Com_Cores, Algoritmo_1_Paralelo, Algoritmo_2_Linear, Algoritmo_2_Paralelo, Algoritmo_3, Melhor

ap.txt, 1, 0.483, 0.59, 0.65, 0.516, 0.695, 0.555, A1L_Sem_Cores
Arara4MaqPar.txt, 1, 0.189, 0.112, 0.164, 0.11, 0.142, 0.124, A2L
chacobo_fem.txt, 1, 6.575, 5.664, 5.707, 3.753, 5.998, 5.7, A2L
chacobo_mas.txt, 1, 6.3, 5.458, 5.775, 3.732, 6.182, 5.744, A2L
deni.txt, 1, 0.715, 0.453, 0.528, 0.454, 0.535, 0.523, A1L_Com_Cores
EN4MaqPar.txt, 1, 0.224, 0.266, 0.342, 0.243, 0.345, 0.263, A1L_Sem_Cores
im.txt, 1, 0.209, 0.217, 0.267, 0.192, 0.298, 0.214, A2L
kraho.txt, 1, 1.779, 1.276, 1.352, 0.996, 1.72, 1.377, A2L
marcapata.txt, 1, 3.155, 3.425, 3.163, 3.088, 3.531, 3.479, A2L
mbya.txt, 1, 0.98, 1.057, 0.975, 0.91, 1.099, 1.039, A2L
xv.txt, 1, 0.066, 0.082, 0.099, 0.079, 0.095, 0.068, A1L_Sem_Cores
zo.txt, 1, 0.253, 0.255, 0.33, 0.236, 0.359, 0.263, A2L


ap.txt, 2, 2.381, 1.269, 1.037, 1.672, 1.412, 14.697, A1P
Arara4MaqPar.txt, 2, 16.823, 3.882, 1.091, 3.701, 1.096, 3.552, A1P
chacobo_fem.txt, 2, 642.98, 82.624, 22.575, 69.671, 21.512, 58.51, A2P
chacobo_mas.txt, 2, 633.725, 84.018, 22.455, 69.658, 21.425, 59.869, A2P
deni.txt, 2, 139.414, 16.071, 4.613, 14.198, 4.483, 22.842, A2P
EN4MaqPar.txt, 2, 1.777, 0.63, 0.48, 0.802, 0.562, 5.335, A1P
im.txt, 2, 3.968, 0.731, 0.49, 0.901, 0.585, 5.417, A1P
kraho.txt, 2, 186.501, 23.298, 6.603, 20.88, 6.934, 35.138, A1P
marcapata.txt, 2, 22.593, 21.221, 21.162, 29.125, 34.646, 351.755, A1P
mbya.txt, 2, 4.73, 3.174, 2.86, 4.365, 4.379, 41.554, A1P
xv.txt, 2, 2.41, 1.025, 0.546, 1.123, 0.807, 6.843, A1P
zo.txt, 2, 3.47, 0.736, 0.559, 0.945, 0.755, 7.109, A1P
