Nome, Numero_Casamentos, Algoritmo_1_Linear_Sem_Cores, Algoritmo_1_Linear_Com_Cores, Algoritmo_1_Paralelo, Algoritmo_2_Linear, Algoritmo_2_Paralelo, Algoritmo_3, Melhor

ap.txt, 1, 0.887s, 0.823s, 0.722s, 3.32s, 2.603s, 2.652s, A1P
ap.txt, 2, 4.354s, 2.779s, 1.408s, 5.11s, 4.414s, 8.406s, A1P
Arara4MaqPar.txt, 1, 0.385s, 0.23s, 0.268s, 0.306s, 0.33s, 0.336s, A1L_Com_Cores
Arara4MaqPar.txt, 2, 24.593s, 7.059s, 2.061s, 7.008s, 2.196s, 5.938s, A1P
chacobo_fem.txt, 1, 11.108s, 8.578s, 9.236s, 10.299s, 11.65s, 11.821s, A2L
Erro, Erro, Erro, Erro, Erro, Erro, Erro, Erro, Erro
chacobo_mas.txt, 1, 9.907s, 8.059s, 9.521s, 9.828s, 11.288s, 11.363s, A2P
Erro, Erro, Erro, Erro, Erro, Erro, Erro, Erro, Erro
deni.txt, 1, 1.566s, 1s, 1.344s, 2.328s, 1.877s, 2.229s, A1P
deni.txt, 2, 198.659s, 30.714s, 8.374s, 27.882s, 9.479s, 24.943s, A1L_Sem_Cores
EN4MaqPar.txt, 1, 0.62s, 0.515s, 0.573s, 1.28s, 1.125s, 1.181s, A1L_Com_Cores
EN4MaqPar.txt, 2, 3.122s, 1.429s, 0.777s, 2.332s, 1.717s, 3.178s, A1P
im.txt, 1, 0.441s, 0.383s, 0.453s, 0.881s, 0.746s, 0.857s, A1L_Com_Cores
im.txt, 2, 6.314s, 1.748s, 0.613s, 2.177s, 1.148s, 2.945s, A1P
kraho.txt, 1, 3.354s, 2.702s, 2.653s, 5.569s, 4.505s, 6.244s, A1P
kraho.txt, 2, 246.03s, 40.686s, 11.998s, 39.322s, 13.943s, 34.107s, A1P
marcapata.txt, 1, 5.129s, 5.141s, 5.912s, 16.392s, 16.178s, 15.254s, A3
marcapata.txt, 2, 56.694s, 54.398s, 15.94s, 83.543s, 37.18s, 197.807s, A1P
mbya.txt, 1, 1.66s, 1.521s, 1.858s, 5.447s, 4.739s, 4.501s, A1L_Com_Cores
mbya.txt, 2, 10.152s, 7.671s, 2.98s, 13.297s, 7.244s, 23.803s, A1L_Sem_Cores
