5, 2004, m, 2005, f, 2053, m, 2059, f, 2004 2006 2823 2824 2059 2053 2047 2045 2005 , m2004 (m2006) m2823 m2824 f2059 m2053 m2047 (m2045) f2005 , FSSDHFFD, 2004 2005, 2053 2059, G-2, 1, G1, 1, 5, 3
6, 2004, m, 2005, f, 2053, m, 2059, f, 2004 2006 2823 2824 2059 2053 2047 2046 2005 , m2004 (m2006) m2823 m2824 f2059 m2053 m2047 (f2046) f2005 , FSSDHFMD, 2004 2005, 2053 2059, G-2, 1, G1, 1, 5, 3
9, 2004, m, 2005, f, 2559, m, 2076, f, 2004 2006 2008 2557 2559 2076 2052 2047 2045 2005 , m2004 (m2006) m2008 f2557 m2559 f2076 f2052 m2047 (m2045) f2005 , FSDSWMFFD, 2004 2005, 2076 2559, G-2, 1, G2, 1, 5, 4
10, 2004, m, 2005, f, 2559, m, 2076, f, 2004 2006 2008 2557 2559 2076 2052 2047 2046 2005 , m2004 (m2006) m2008 f2557 m2559 f2076 f2052 m2047 (f2046) f2005 , FSDSWMFMD, 2004 2005, 2076 2559, G-2, 1, G2, 1, 5, 4
13, 2004, m, 2005, f, 2822, m, 2163, f, 2004 2006 2823 2822 2163 2045 2005 , m2004 (m2006) m2823 m2822 f2163 (m2045) f2005 , FSSWFD, 2004 2005, 2163 2822, G-1, 1, G0, 1, 4, 2
14, 2004, m, 2005, f, 2822, m, 2163, f, 2004 2006 2823 2822 2163 2046 2005 , m2004 (m2006) m2823 m2822 f2163 (f2046) f2005 , FSSWMD, 2004 2005, 2163 2822, G-1, 1, G0, 1, 4, 2
43, 2036, m, 2031, f, 2115, m, 2110, f, 2036 2351 2115 2110 2095 2004 2006 2010 2015 2031 , m2036 (f2351) m2115 f2110 f2095 m2004 (m2006) f2010 m2015 f2031 , MSWMFFDSD, 2031 2036, 2110 2115, G0, 1, G0, 3, 3, 6
44, 2036, m, 2031, f, 2115, m, 2110, f, 2036 2358 2115 2110 2095 2004 2006 2010 2015 2031 , m2036 (m2358) m2115 f2110 f2095 m2004 (m2006) f2010 m2015 f2031 , FSWMFFDSD, 2031 2036, 2110 2115, G0, 1, G0, 3, 3, 6
45, 2036, m, 2031, f, 2115, m, 2110, f, 2036 2351 2115 2110 2095 2004 2007 2010 2015 2031 , m2036 (f2351) m2115 f2110 f2095 m2004 (f2007) f2010 m2015 f2031 , MSWMFMDSD, 2031 2036, 2110 2115, G0, 1, G0, 3, 3, 6
46, 2036, m, 2031, f, 2115, m, 2110, f, 2036 2358 2115 2110 2095 2004 2007 2010 2015 2031 , m2036 (m2358) m2115 f2110 f2095 m2004 (f2007) f2010 m2015 f2031 , FSWMFMDSD, 2031 2036, 2110 2115, G0, 1, G0, 3, 3, 6
77, 2036, m, 2031, f, 4918, m, 2520, f, 2036 2358 2511 2512 2520 4918 4711 6515 2842 2012 2015 2031 , m2036 m2358 (m2511) m2512 f2520 m4918 f4711 f6515 (m2842) m2012 m2015 f2031 , FFSDHMMFSSD, 2031 2036, 2520 4918, G0, 2, G0, 3, 5, 6
78, 2036, m, 2031, f, 4918, m, 2520, f, 2036 2358 2511 2512 2520 4918 4711 6515 2843 2012 2015 2031 , m2036 m2358 (m2511) m2512 f2520 m4918 f4711 f6515 (f2843) m2012 m2015 f2031 , FFSDHMMMSSD, 2031 2036, 2520 4918, G0, 2, G0, 3, 5, 6
183, 2053, m, 2059, f, 2559, m, 2076, f, 2053 2047 2052 2076 2559 2557 2008 2006 2823 2824 2059 , m2053 (m2047) f2052 f2076 m2559 f2557 m2008 (m2006) m2823 m2824 f2059 , FDDHMFFSSD, 2053 2059, 2076 2559, G-1, 1, G0, 3, 4, 6
184, 2053, m, 2059, f, 2559, m, 2076, f, 2053 2047 2052 2076 2559 2557 2008 6657 2823 2824 2059 , m2053 (m2047) f2052 f2076 m2559 f2557 m2008 (f6657) m2823 m2824 f2059 , FDDHMFMSSD, 2053 2059, 2076 2559, G-1, 1, G0, 3, 4, 6
185, 2053, m, 2059, f, 2559, m, 2076, f, 2053 2049 2052 2076 2559 2557 2008 2006 2823 2824 2059 , m2053 (f2049) f2052 f2076 m2559 f2557 m2008 (m2006) m2823 m2824 f2059 , MDDHMFFSSD, 2053 2059, 2076 2559, G-1, 1, G0, 3, 4, 6
