Nome, Numero_Casamentos, Algoritmo_1_Linear_Sem_Cores, Algoritmo_1_Linear_Com_Cores, Algoritmo_1_Paralelo, Algoritmo_2_Linear, Algoritmo_2_Paralelo, Algoritmo_3, Melhor

ap.txt,1, 0.863, 0.82, 0.818, 0.922, 0.893, 0.922, A1P
Arara4MaqPar.txt,1, 0.363, 0.218, 0.272, 0.211, 0.236, 0.272, A1L_Com_Cores
chacobo_fem.txt,1, 10.373, 8.595, 9.284, 7.542, 8.843, 9.343, A1L_Com_Cores
chacobo_mas.txt,1, 9.916, 8.41, 8.887, 7.775, 8.78, 9.163, A1L_Com_Cores
deni.txt,1, 1.319, 0.846, 1.046, 0.892, 0.92, 1.124, A1L_Com_Cores
EN4MaqPar.txt,1, 0.52, 0.472, 0.533, 0.48, 0.491, 0.571, A1L_Com_Cores
im.txt,1, 0.385, 0.328, 0.398, 0.364, 0.379, 0.423, A1L_Com_Cores
kraho.txt,1, 3.065, 2.129, 2.526, 2.33, 2.468, 2.806, A1L_Com_Cores
marcapata.txt,1, 4.986, 5.055, 5.289, 6.084, 5.989, 6.08, A1L_Sem_Cores
mbya.txt,1, 1.578, 1.494, 1.793, 1.801, 1.837, 1.937, A1L_Com_Cores
xv.txt,1, 0.108, 0.098, 0.121, 0.141, 0.134, 0.148, A1L_Com_Cores
zo.txt,1, 0.512, 0.447, 0.538, 0.452, 0.493, 0.541, A1L_Com_Cores


ap.txt,2, 4.328, 2.816, 1.317, 3.277, 1.559, 8.737, A1P
Arara4MaqPar.txt,2, 24.19, 7.035, 2.081, 6.716, 2.208, 5.907, A1P
chacobo_fem.txt,2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, A1L_Sem_Cores
chacobo_mas.txt,2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, A1L_Sem_Cores
deni.txt,2, 185.615, 29.211, 6.654, 26.674, 8.011, 25.191, A1P
EN4MaqPar.txt,2, 2.745, 1.291, 0.668, 1.479, 0.761, 3.304, A1P
im.txt,2, 5.752, 1.635, 0.536, 1.658, 0.681, 3.679, A1P
kraho.txt,2, 239.317, 39.259, 10.419, 36.438, 11.579, 34.767, A1P
marcapata.txt,2, 52.354, 50.553, 14.662, 71.81, 24.97, 205.833, A1P
mbya.txt,2, 9.318, 7.217, 2.8, 9.675, 4.223, 24.672, A1P
xv.txt,2, 3.659, 2.189, 0.509, 2.436, 0.733, 4.684, A1P
zo.txt,2, 5.037, 1.644, 0.682, 1.854, 0.844, 4.356, A1P
