Nome, Numero_Casamentos, Algoritmo_1_Linear_Sem_Cores, Algoritmo_1_Linear_Com_Cores, Algoritmo_1_Paralelo, Algoritmo_2_Linear, Algoritmo_2_Paralelo, Algoritmo_3, Melhor

ap.txt, 1, 0, 0, 0, 0.949s, 0.878s, 0.93s, A1L_Sem_Cores
ap.txt, 2, 0, 0, 0, 3.007s, 1.52s, 8.847s, A1L_Sem_Cores
Arara4MaqPar.txt, 1, 0, 0, 0, 0.212s, 0.225s, 0.267s, A1L_Sem_Cores
chacobo_fem.txt, 1, 0, 0, 0, 7.424s, 8.643s, 9.055s, A1L_Sem_Cores
chacobo_mas.txt, 1, 0, 0, 0, 7.727s, 8.733s, 8.958s, A1L_Sem_Cores
deni.txt, 1, 0, 0, 0, 0.893s, 0.913s, 1.114s, A1L_Sem_Cores
deni.txt, 2, 0, 0, 0, 24.48s, 7.812s, 24.103s, A1L_Sem_Cores
EN4MaqPar.txt, 1, 0, 0, 0, 0.509s, 0.507s, 0.593s, A1L_Sem_Cores
EN4MaqPar.txt, 2, 0, 0, 0, 1.474s, 0.795s, 3.371s, A1L_Sem_Cores
im.txt, 1, 0, 0, 0, 0.417s, 0.408s, 0.473s, A1L_Sem_Cores
im.txt, 2, 0, 0, 0, 1.725s, 0.727s, 3.669s, A1L_Sem_Cores
kraho.txt, 1, 0, 0, 0, 2.225s, 2.293s, 2.704s, A1L_Sem_Cores
kraho.txt, 2, 0, 0, 0, 35.381s, 11.747s, 35.131s, A1L_Sem_Cores
marcapata.txt, 1, 0, 0, 0, 6.089s, 5.909s, 6.027s, A1L_Sem_Cores
marcapata.txt, 2, 0, 0, 0, 70.65s, 24.132s, 189.884s, A1L_Sem_Cores
mbya.txt, 1, 0, 0, 0, 1.755s, 1.641s, 1.768s, A1L_Sem_Cores
mbya.txt, 2, 0, 0, 0, 9.522s, 3.675s, 24.635s, A1L_Sem_Cores
xv.txt, 1, 0, 0, 0, 0.136s, 0.127s, 0.121s, A1L_Sem_Cores
xv.txt, 2, 0, 0, 0, 2.268s, 0.699s, 4.323s, A1L_Sem_Cores
zo.txt, 1, 0, 0, 0, 0.404s, 0.459s, 0.485s, A1L_Sem_Cores
zo.txt, 2, 0, 0, 0, 1.698s, 0.742s, 4.096s, A1L_Sem_Cores



ap.txt, 1, 0, 0, 0, 0.862s, 0.799s, 0.855s, A1L_Sem_Cores
ap.txt, 2, 0, 0, 0, 3.13s, 1.459s, 8.17s, A1L_Sem_Cores
Arara4MaqPar.txt, 1, 0, 0, 0, 0.181s, 0.191s, 0.229s, A1L_Sem_Cores
Arara4MaqPar.txt, 2, 0, 0, 0, 6.494s, 2.103s, 5.597s, A1L_Sem_Cores
chacobo_fem.txt, 1, 0, 0, 0, 7.192s, 8.128s, 8.617s, A1L_Sem_Cores
chacobo_mas.txt, 1, 0, 0, 0, 7.24s, 8.158s, 8.873s, A1L_Sem_Cores
deni.txt, 1, 0, 0, 0, 0.736s, 0.815s, 0.935s, A1L_Sem_Cores
deni.txt, 2, 0, 0, 0, 26.331s, 7.138s, 23.778s, A1L_Sem_Cores
EN4MaqPar.txt, 1, 0, 0, 0, 0.354s, 0.465s, 0.519s, A1L_Sem_Cores
