Nome, Numero_Casamentos, Algoritmo_1_Linear_Sem_Cores, Algoritmo_1_Linear_Com_Cores, Algoritmo_1_Paralelo, Algoritmo_2_Linear, Algoritmo_2_Paralelo, Algoritmo_3, Melhor

ap.txt, 1, 0.488s, 0.612s, 0.672s, 0.507s, 0.734s, 0.577s, A1L_Sem_Cores
ap.txt, 2, 2.368s, 1.27s, 0.906s, 1.676s, 1.406s, 14.964s, A1P
Arara4MaqPar.txt, 1, 0.182s, 0.103s, 0.14s, 0.093s, 0.144s, 0.116s, A2L
Arara4MaqPar.txt, 2, 16.989s, 4.031s, 1.036s, 3.668s, 1.05s, 3.613s, A1P
chacobo_fem.txt, 1, 7.118s, 6.227s, 5.675s, 3.82s, 5.93s, 5.639s, A2L
chacobo_fem.txt, 2, 624.183s, 82.459s, 22.429s, 69.732s, 22.343s, 58.926s, A2P
chacobo_mas.txt, 1, 6.314s, 5.51s, 5.642s, 3.824s, 6.208s, 5.638s, A2L
chacobo_mas.txt, 2, 625.173s, 82.007s, 22.159s, 69.466s, 21.341s, 60.163s, A2P
deni.txt, 1, 0.744s, 0.447s, 0.433s, 0.476s, 0.531s, 0.559s, A1P
deni.txt, 2, 139.114s, 16.064s, 4.838s, 14.266s, 4.501s, 22.669s, A1L_Sem_Cores
EN4MaqPar.txt, 1, 0.214s, 0.265s, 0.339s, 0.251s, 0.332s, 0.251s, A1L_Sem_Cores
EN4MaqPar.txt, 2, 1.757s, 0.617s, 0.453s, 0.856s, 0.527s, 5.288s, A1P
im.txt, 1, 0.176s, 0.187s, 0.247s, 0.186s, 0.302s, 0.194s, A1L_Sem_Cores
im.txt, 2, 3.973s, 0.738s, 0.476s, 0.823s, 0.581s, 5.412s, A1P
kraho.txt, 1, 1.869s, 1.251s, 1.323s, 0.941s, 1.69s, 1.426s, A2L
kraho.txt, 2, 185.462s, 23.576s, 6.468s, 21.032s, 6.584s, 35.058s, A1L_Sem_Cores
marcapata.txt, 1, 3.257s, 3.455s, 3.162s, 3.053s, 3.398s, 3.458s, A2L
marcapata.txt, 2, 22.439s, 21.054s, 21.347s, 28.937s, 34.168s, 343.335s, A1L_Com_Cores
mbya.txt, 1, 0.988s, 1.087s, 1.133s, 0.895s, 1.198s, 1.056s, A2L
mbya.txt, 2, 4.725s, 3.158s, 2.788s, 4.336s, 4.404s, 41.508s, A1P
xv.txt, 1, 0.067s, 0.064s, 0.092s, 0.073s, 0.075s, 0.076s, A1L_Com_Cores
xv.txt, 2, 2.663s, 1.157s, 0.582s, 1.221s, 0.8s, 6.765s, A1P
zo.txt, 1, 0.322s, 0.309s, 0.348s, 0.256s, 0.372s, 0.295s, A2L
