35, 2993, m, 2994, f, 2014, m, 2019, f, 2993 6510 6841 6509 2019 2014 2010 2006 2823 2994 , m2993 m6510 (m6841) f6509 f2019 m2014 f2010 (m2006) m2823 f2994 , FFDDHMFSD, 2993 2994, 2014 2019, G0, 2, G0, 2, 5, 4
36, 2993, m, 2994, f, 2014, m, 2019, f, 2993 6510 6842 6509 2019 2014 2010 2006 2823 2994 , m2993 m6510 (f6842) f6509 f2019 m2014 f2010 (m2006) m2823 f2994 , FMDDHMFSD, 2993 2994, 2014 2019, G0, 2, G0, 2, 5, 4
201, 2559, m, 2076, f, 2063, m, 2070, f, 2559 2557 2008 2006 2004 2095 2107 2070 2063 2050 2047 2052 2076 , m2559 f2557 m2008 (m2006) m2004 f2095 f2107 f2070 m2063 m2050 (m2047) f2052 f2076 , MFFSDDDHFFDD, 2076 2559, 2063 2070, G-1, 3, G0, 2, 8, 4
202, 2559, m, 2076, f, 2063, m, 2070, f, 2559 2557 2008 2006 2004 2095 2107 2070 2063 2050 2049 2052 2076 , m2559 f2557 m2008 (m2006) m2004 f2095 f2107 f2070 m2063 m2050 (f2049) f2052 f2076 , MFFSDDDHFMDD, 2076 2559, 2063 2070, G-1, 3, G0, 2, 8, 4
259, 2207, m, 2497, f, 2171, m, 2193, f, 2207 2194 2193 2171 2173 2962 6987 6220 2498 2497 , m2207 (m2194) f2193 m2171 f2173 f2962 (m6987) m6220 m2498 f2497 , FDHMMFSSD, 2207 2497, 2171 2193, G0, 1, G0, 3, 3, 6
260, 2207, m, 2497, f, 2171, m, 2193, f, 2207 2195 2193 2171 2173 2962 6987 6220 2498 2497 , m2207 (f2195) f2193 m2171 f2173 f2962 (m6987) m6220 m2498 f2497 , MDHMMFSSD, 2207 2497, 2171 2193, G0, 1, G0, 3, 3, 6
261, 2207, m, 2497, f, 2171, m, 2193, f, 2207 2194 2193 2171 2173 2962 6988 6220 2498 2497 , m2207 (m2194) f2193 m2171 f2173 f2962 (f6988) m6220 m2498 f2497 , FDHMMMSSD, 2207 2497, 2171 2193, G0, 1, G0, 3, 3, 6
262, 2207, m, 2497, f, 2171, m, 2193, f, 2207 2195 2193 2171 2173 2962 6988 6220 2498 2497 , m2207 (f2195) f2193 m2171 f2173 f2962 (f6988) m6220 m2498 f2497 , MDHMMMSSD, 2207 2497, 2171 2193, G0, 1, G0, 3, 3, 6
519, 2478, m, 2482, f, 2207, m, 2497, f, 2478 2474 2475 2202 2195 2207 2497 2499 2604 2482 , m2478 m2474 (m2475) m2202 f2195 m2207 f2497 f2499 (m2604) f2482 , FFSDSWMFD, 2478 2482, 2207 2497, G-1, 2, G1, 1, 6, 3
520, 2478, m, 2482, f, 2207, m, 2497, f, 2478 2474 2475 2202 2195 2207 2497 2499 2605 2482 , m2478 m2474 (m2475) m2202 f2195 m2207 f2497 f2499 (f2605) f2482 , FFSDSWMMD, 2478 2482, 2207 2497, G-1, 2, G1, 1, 6, 3
521, 2478, m, 2482, f, 2207, m, 2497, f, 2478 2474 2476 2202 2195 2207 2497 2499 2604 2482 , m2478 m2474 (f2476) m2202 f2195 m2207 f2497 f2499 (m2604) f2482 , FMSDSWMFD, 2478 2482, 2207 2497, G-1, 2, G1, 1, 6, 3
522, 2478, m, 2482, f, 2207, m, 2497, f, 2478 2474 2476 2202 2195 2207 2497 2499 2605 2482 , m2478 m2474 (f2476) m2202 f2195 m2207 f2497 f2499 (f2605) f2482 , FMSDSWMMD, 2478 2482, 2207 2497, G-1, 2, G1, 1, 6, 3
1975, 2993, m, 2994, f, 2552, m, 2557, f, 2993 6511 6663 2551 2552 2557 2008 2006 2823 2994 , m2993 f6511 (m6663) f2551 m2552 f2557 m2008 (m2006) m2823 f2994 , MFDSWFFSD, 2993 2994, 2552 2557, G0, 2, G0, 2, 5, 4
1976, 2993, m, 2994, f, 2552, m, 2557, f, 2993 6511 6663 2551 2552 2557 2008 6657 2823 2994 , m2993 f6511 (m6663) f2551 m2552 f2557 m2008 (f6657) m2823 f2994 , MFDSWFMSD, 2993 2994, 2552 2557, G0, 2, G0, 2, 5, 4
1977, 2993, m, 2994, f, 2552, m, 2557, f, 2993 6511 6664 2551 2552 2557 2008 2006 2823 2994 , m2993 f6511 (f6664) f2551 m2552 f2557 m2008 (m2006) m2823 f2994 , MMDSWFFSD, 2993 2994, 2552 2557, G0, 2, G0, 2, 5, 4
1978, 2993, m, 2994, f, 2552, m, 2557, f, 2993 6511 6664 2551 2552 2557 2008 6657 2823 2994 , m2993 f6511 (f6664) f2551 m2552 f2557 m2008 (f6657) m2823 f2994 , MMDSWFMSD, 2993 2994, 2552 2557, G0, 2, G0, 2, 5, 4
2023, 4152, m, 4153, f, 3119, m, 6122, f, 4152 6123 6122 3119 6120 6724 4153 , m4152 (m6123) f6122 m3119 (m6120) f6724 f4153 , FDHFDD, 4152 4153, 3119 6122, G0, 1, G-1, 1, 3, 3
2024, 4152, m, 4153, f, 3119, m, 6122, f, 4152 6124 6122 3119 6120 6724 4153 , m4152 (f6124) f6122 m3119 (m6120) f6724 f4153 , MDHFDD, 4152 4153, 3119 6122, G0, 1, G-1, 1, 3, 3
2025, 4152, m, 4153, f, 3119, m, 6122, f, 4152 6123 6122 3119 6121 6724 4153 , m4152 (m6123) f6122 m3119 (f6121) f6724 f4153 , FDHMDD, 4152 4153, 3119 6122, G0, 1, G-1, 1, 3, 3
2026, 4152, m, 4153, f, 3119, m, 6122, f, 4152 6124 6122 3119 6121 6724 4153 , m4152 (f6124) f6122 m3119 (f6121) f6724 f4153 , MDHMDD, 4152 4153, 3119 6122, G0, 1, G-1, 1, 3, 3
2035, 3977, m, 6658, f, 3237, m, 4248, f, 3977 5065 3237 4248 6305 6684 6659 6658 , m3977 (m5065) m3237 f4248 f6305 (m6684) m6659 f6658 , FSWMFSD, 3977 6658, 3237 4248, G0, 1, G0, 2, 3, 4
2036, 3977, m, 6658, f, 3237, m, 4248, f, 3977 5065 3237 4248 6305 6685 6659 6658 , m3977 (m5065) m3237 f4248 f6305 (f6685) m6659 f6658 , FSWMMSD, 3977 6658, 3237 4248, G0, 1, G0, 2, 3, 4
2037, 3977, m, 6658, f, 3237, m, 4248, f, 3977 5066 3237 4248 6305 6684 6659 6658 , m3977 (f5066) m3237 f4248 f6305 (m6684) m6659 f6658 , MSWMFSD, 3977 6658, 3237 4248, G0, 1, G0, 2, 3, 4
2038, 3977, m, 6658, f, 3237, m, 4248, f, 3977 5066 3237 4248 6305 6685 6659 6658 , m3977 (f5066) m3237 f4248 f6305 (f6685) m6659 f6658 , MSWMMSD, 3977 6658, 3237 4248, G0, 1, G0, 2, 3, 4
2063, 5086, m, 5087, f, 3674, m, 3675, f, 5086 6564 3675 3674 6601 7794 5087 , m5086 (m6564) f3675 m3674 f6601 (m7794) f5087 , FDHMFD, 5086 5087, 3674 3675, G0, 1, G1, 1, 3, 3
2064, 5086, m, 5087, f, 3674, m, 3675, f, 5086 6565 3675 3674 6601 7794 5087 , m5086 (f6565) f3675 m3674 f6601 (m7794) f5087 , MDHMFD, 5086 5087, 3674 3675, G0, 1, G1, 1, 3, 3
2065, 5086, m, 5087, f, 3674, m, 3675, f, 5086 6564 3675 3674 6601 7795 5087 , m5086 (m6564) f3675 m3674 f6601 (f7795) f5087 , FDHMMD, 5086 5087, 3674 3675, G0, 1, G1, 1, 3, 3
