15, 2008, m, 2861, f, 2012, m, 2010, f, 2008 2006 2010 2012 2842 2836 2861 , m2008 (m2006) f2010 m2012 (m2842) f2836 f2861 , FDHFDD, 2008 2861, 2010 2012, G0, 1, G-1, 1, 3, 3
16, 2008, m, 2861, f, 2012, m, 2010, f, 2008 2006 2010 2012 2843 2836 2861 , m2008 (m2006) f2010 m2012 (f2843) f2836 f2861 , FDHMDD, 2008 2861, 2010 2012, G0, 1, G-1, 1, 3, 3
35, 2014, m, 2019, f, 2993, m, 2994, f, 2014 2010 2006 2823 2994 2993 6510 6841 6509 2019 , m2014 f2010 (m2006) m2823 f2994 m2993 m6510 (m6841) f6509 f2019 , MFSDHFFDD, 2014 2019, 2993 2994, G0, 2, G0, 2, 5, 4
36, 2014, m, 2019, f, 2993, m, 2994, f, 2014 2010 2006 2823 2994 2993 6510 6842 6509 2019 , m2014 f2010 (m2006) m2823 f2994 m2993 m6510 (f6842) f6509 f2019 , MFSDHFMDD, 2014 2019, 2993 2994, G0, 2, G0, 2, 5, 4
189, 2053, m, 2059, f, 2822, m, 2163, f, 2053 2047 2045 2163 2822 2823 2824 2059 , m2053 m2047 (m2045) f2163 m2822 (m2823) m2824 f2059 , FFDHFSD, 2053 2059, 2163 2822, G1, 1, G-1, 1, 4, 3
190, 2053, m, 2059, f, 2822, m, 2163, f, 2053 2047 2045 2163 2822 3657 2824 2059 , m2053 m2047 (m2045) f2163 m2822 (f3657) m2824 f2059 , FFDHMSD, 2053 2059, 2163 2822, G1, 1, G-1, 1, 4, 3
191, 2053, m, 2059, f, 2822, m, 2163, f, 2053 2047 2046 2163 2822 2823 2824 2059 , m2053 m2047 (f2046) f2163 m2822 (m2823) m2824 f2059 , FMDHFSD, 2053 2059, 2163 2822, G1, 1, G-1, 1, 4, 3
192, 2053, m, 2059, f, 2822, m, 2163, f, 2053 2047 2046 2163 2822 3657 2824 2059 , m2053 m2047 (f2046) f2163 m2822 (f3657) m2824 f2059 , FMDHMSD, 2053 2059, 2163 2822, G1, 1, G-1, 1, 4, 3
201, 2063, m, 2070, f, 2559, m, 2076, f, 2063 2050 2047 2052 2076 2559 2557 2008 2006 2004 2095 2107 2070 , m2063 m2050 (m2047) f2052 f2076 m2559 f2557 m2008 (m2006) m2004 f2095 f2107 f2070 , FFDDHMFFSDDD, 2063 2070, 2076 2559, G0, 2, G-1, 3, 5, 7
202, 2063, m, 2070, f, 2559, m, 2076, f, 2063 2050 2049 2052 2076 2559 2557 2008 2006 2004 2095 2107 2070 , m2063 m2050 (f2049) f2052 f2076 m2559 f2557 m2008 (m2006) m2004 f2095 f2107 f2070 , FMDDHMFFSDDD, 2063 2070, 2076 2559, G0, 2, G-1, 3, 5, 7
207, 2063, m, 2070, f, 2101, m, 2095, f, 2063 2050 2047 2045 2005 2095 2101 2107 2070 , m2063 m2050 m2047 (m2045) f2005 f2095 (m2101) f2107 f2070 , FFFDDHDD, 2063 2070, 2095 2101, G1, 2, G-2, 0, 6, 2
208, 2063, m, 2070, f, 2101, m, 2095, f, 2063 2050 2047 2046 2005 2095 2101 2107 2070 , m2063 m2050 m2047 (f2046) f2005 f2095 (m2101) f2107 f2070 , FFMDDHDD, 2063 2070, 2095 2101, G1, 2, G-2, 0, 6, 2
213, 2063, m, 2070, f, 2822, m, 2163, f, 2063 2050 2047 2045 2163 2822 2823 2006 2004 2095 2107 2070 , m2063 m2050 m2047 (m2045) f2163 m2822 m2823 (m2006) m2004 f2095 f2107 f2070 , FFFDHFFSDDD, 2063 2070, 2163 2822, G2, 1, G-2, 2, 5, 6
