807, 2365, m, 2369, f, 2379, m, 2385, f, 2365 2351 2324 2352 2379 2385 2478 2725 2726 2264 2739 3040 2369 , m2365 f2351 (m2324) f2352 m2379 f2385 m2478 f2725 (f2726) m2264 f2739 m3040 f2369 , MFDSWFMMSDSD, 2365 2369, 2379 2385, G0, 2, G-1, 3, 5, 7
808, 2365, m, 2369, f, 2379, m, 2385, f, 2365 2351 2325 2352 2379 2385 2478 2725 2726 2264 2739 3040 2369 , m2365 f2351 (f2325) f2352 m2379 f2385 m2478 f2725 (f2726) m2264 f2739 m3040 f2369 , MMDSWFMMSDSD, 2365 2369, 2379 2385, G0, 2, G-1, 3, 5, 7
1446, 2485, m, 2614, f, 2676, m, 2677, f, 2485 2200 2725 2726 2172 2676 2677 2527 2525 2529 2614 , m2485 f2200 f2725 (f2726) m2172 m2676 f2677 m2527 (m2525) m2529 f2614 , MMMSSWFFSD, 2485 2614, 2676 2677, G1, 2, G0, 2, 6, 4
1447, 2485, m, 2614, f, 2676, m, 2677, f, 2485 2200 2725 2726 2172 2676 2677 2527 2526 2529 2614 , m2485 f2200 f2725 (f2726) m2172 m2676 f2677 m2527 (f2526) m2529 f2614 , MMMSSWFMSD, 2485 2614, 2676 2677, G1, 2, G0, 2, 6, 4
1548, 4152, m, 4153, f, 3119, m, 6122, f, 4152 6123 6122 3119 6120 6724 4153 , m4152 (m6123) f6122 m3119 (m6120) f6724 f4153 , FDHFDD, 4152 4153, 3119 6122, G0, 1, G-1, 1, 3, 3
1549, 4152, m, 4153, f, 3119, m, 6122, f, 4152 6124 6122 3119 6120 6724 4153 , m4152 (f6124) f6122 m3119 (m6120) f6724 f4153 , MDHFDD, 4152 4153, 3119 6122, G0, 1, G-1, 1, 3, 3
1550, 4152, m, 4153, f, 3119, m, 6122, f, 4152 6123 6122 3119 6121 6724 4153 , m4152 (m6123) f6122 m3119 (f6121) f6724 f4153 , FDHMDD, 4152 4153, 3119 6122, G0, 1, G-1, 1, 3, 3
1551, 4152, m, 4153, f, 3119, m, 6122, f, 4152 6124 6122 3119 6121 6724 4153 , m4152 (f6124) f6122 m3119 (f6121) f6724 f4153 , MDHMDD, 4152 4153, 3119 6122, G0, 1, G-1, 1, 3, 3
1572, 4543, m, 4545, f, 4992, m, 4993, f, 4543 4324 6051 7728 5002 4994 4993 4992 4331 4332 6772 7169 4402 4400 4545 , m4543 m4324 f6051 (m7728) m5002 f4994 f4993 m4992 f4331 m4332 (m6772) m7169 f4402 f4400 f4545 , FMFSDDHMFFSDDD, 4543 4545, 4992 4993, G0, 3, G-1, 3, 7, 7
1573, 4543, m, 4545, f, 4992, m, 4993, f, 4543 4324 6051 7728 5002 4994 4993 4992 4331 4332 6773 7169 4402 4400 4545 , m4543 m4324 f6051 (m7728) m5002 f4994 f4993 m4992 f4331 m4332 (f6773) m7169 f4402 f4400 f4545 , FMFSDDHMFMSDDD, 4543 4545, 4992 4993, G0, 3, G-1, 3, 7, 7
1574, 4543, m, 4545, f, 4992, m, 4993, f, 4543 4324 6051 7729 5002 4994 4993 4992 4331 4332 6772 7169 4402 4400 4545 , m4543 m4324 f6051 (f7729) m5002 f4994 f4993 m4992 f4331 m4332 (m6772) m7169 f4402 f4400 f4545 , FMMSDDHMFFSDDD, 4543 4545, 4992 4993, G0, 3, G-1, 3, 7, 7
1575, 4543, m, 4545, f, 4992, m, 4993, f, 4543 4324 6051 7729 5002 4994 4993 4992 4331 4332 6773 7169 4402 4400 4545 , m4543 m4324 f6051 (f7729) m5002 f4994 f4993 m4992 f4331 m4332 (f6773) m7169 f4402 f4400 f4545 , FMMSDDHMFMSDDD, 4543 4545, 4992 4993, G0, 3, G-1, 3, 7, 7
