43, 2036, m, 2031, f, 2115, m, 2110, f, 2036 2351 2115 2110 2095 2004 2006 2010 2015 2031 , m2036 (f2351) m2115 f2110 f2095 m2004 (m2006) f2010 m2015 f2031 , MSWMFFDSD, 2031 2036, 2110 2115, G0, 1, G0, 3, 3, 6
44, 2036, m, 2031, f, 2115, m, 2110, f, 2036 2358 2115 2110 2095 2004 2006 2010 2015 2031 , m2036 (m2358) m2115 f2110 f2095 m2004 (m2006) f2010 m2015 f2031 , FSWMFFDSD, 2031 2036, 2110 2115, G0, 1, G0, 3, 3, 6
45, 2036, m, 2031, f, 2115, m, 2110, f, 2036 2351 2115 2110 2095 2004 2007 2010 2015 2031 , m2036 (f2351) m2115 f2110 f2095 m2004 (f2007) f2010 m2015 f2031 , MSWMFMDSD, 2031 2036, 2110 2115, G0, 1, G0, 3, 3, 6
46, 2036, m, 2031, f, 2115, m, 2110, f, 2036 2358 2115 2110 2095 2004 2007 2010 2015 2031 , m2036 (m2358) m2115 f2110 f2095 m2004 (f2007) f2010 m2015 f2031 , FSWMFMDSD, 2031 2036, 2110 2115, G0, 1, G0, 3, 3, 6
77, 2036, m, 2031, f, 4918, m, 2520, f, 2036 2358 2511 2512 2520 4918 4711 6515 2842 2012 2015 2031 , m2036 m2358 (m2511) m2512 f2520 m4918 f4711 f6515 (m2842) m2012 m2015 f2031 , FFSDHMMFSSD, 2031 2036, 2520 4918, G0, 2, G0, 3, 5, 6
78, 2036, m, 2031, f, 4918, m, 2520, f, 2036 2358 2511 2512 2520 4918 4711 6515 2843 2012 2015 2031 , m2036 m2358 (m2511) m2512 f2520 m4918 f4711 f6515 (f2843) m2012 m2015 f2031 , FFSDHMMMSSD, 2031 2036, 2520 4918, G0, 2, G0, 3, 5, 6
905, 2365, m, 2369, f, 2379, m, 2385, f, 2365 2351 2324 2352 2379 2385 2478 2725 2726 2264 2739 3040 2369 , m2365 f2351 (m2324) f2352 m2379 f2385 m2478 f2725 (f2726) m2264 f2739 m3040 f2369 , MFDSWFMMSDSD, 2365 2369, 2379 2385, G0, 2, G-1, 3, 5, 7
906, 2365, m, 2369, f, 2379, m, 2385, f, 2365 2351 2325 2352 2379 2385 2478 2725 2726 2264 2739 3040 2369 , m2365 f2351 (f2325) f2352 m2379 f2385 m2478 f2725 (f2726) m2264 f2739 m3040 f2369 , MMDSWFMMSDSD, 2365 2369, 2379 2385, G0, 2, G-1, 3, 5, 7
1711, 2485, m, 2614, f, 2676, m, 2677, f, 2485 2200 2725 2726 2172 2676 2677 2527 2525 2529 2614 , m2485 f2200 f2725 (f2726) m2172 m2676 f2677 m2527 (m2525) m2529 f2614 , MMMSSWFFSD, 2485 2614, 2676 2677, G1, 2, G0, 2, 6, 4
1712, 2485, m, 2614, f, 2676, m, 2677, f, 2485 2200 2725 2726 2172 2676 2677 2527 2526 2529 2614 , m2485 f2200 f2725 (f2726) m2172 m2676 f2677 m2527 (f2526) m2529 f2614 , MMMSSWFMSD, 2485 2614, 2676 2677, G1, 2, G0, 2, 6, 4
1841, 4152, m, 4153, f, 3119, m, 6122, f, 4152 6123 6122 3119 6120 6724 4153 , m4152 (m6123) f6122 m3119 (m6120) f6724 f4153 , FDHFDD, 4152 4153, 3119 6122, G0, 1, G-1, 1, 3, 3
1842, 4152, m, 4153, f, 3119, m, 6122, f, 4152 6124 6122 3119 6120 6724 4153 , m4152 (f6124) f6122 m3119 (m6120) f6724 f4153 , MDHFDD, 4152 4153, 3119 6122, G0, 1, G-1, 1, 3, 3
1843, 4152, m, 4153, f, 3119, m, 6122, f, 4152 6123 6122 3119 6121 6724 4153 , m4152 (m6123) f6122 m3119 (f6121) f6724 f4153 , FDHMDD, 4152 4153, 3119 6122, G0, 1, G-1, 1, 3, 3
1844, 4152, m, 4153, f, 3119, m, 6122, f, 4152 6124 6122 3119 6121 6724 4153 , m4152 (f6124) f6122 m3119 (f6121) f6724 f4153 , MDHMDD, 4152 4153, 3119 6122, G0, 1, G-1, 1, 3, 3
1853, 3977, m, 6658, f, 3237, m, 4248, f, 3977 5065 3237 4248 6305 6684 6659 6658 , m3977 (m5065) m3237 f4248 f6305 (m6684) m6659 f6658 , FSWMFSD, 3977 6658, 3237 4248, G0, 1, G0, 2, 3, 4
1854, 3977, m, 6658, f, 3237, m, 4248, f, 3977 5065 3237 4248 6305 6685 6659 6658 , m3977 (m5065) m3237 f4248 f6305 (f6685) m6659 f6658 , FSWMMSD, 3977 6658, 3237 4248, G0, 1, G0, 2, 3, 4
1855, 3977, m, 6658, f, 3237, m, 4248, f, 3977 5066 3237 4248 6305 6684 6659 6658 , m3977 (f5066) m3237 f4248 f6305 (m6684) m6659 f6658 , MSWMFSD, 3977 6658, 3237 4248, G0, 1, G0, 2, 3, 4
1856, 3977, m, 6658, f, 3237, m, 4248, f, 3977 5066 3237 4248 6305 6685 6659 6658 , m3977 (f5066) m3237 f4248 f6305 (f6685) m6659 f6658 , MSWMMSD, 3977 6658, 3237 4248, G0, 1, G0, 2, 3, 4
1881, 3989, m, 3992, f, 4554, m, 4556, f, 3989 3990 4556 4554 4555 3324 3349 3992 , m3989 (m3990) f4556 m4554 f4555 (m3324) m3349 f3992 , FDHMFSD, 3989 3992, 4554 4556, G0, 1, G0, 2, 3, 4
1882, 3989, m, 3992, f, 4554, m, 4556, f, 3989 3990 4556 4554 4555 3325 3349 3992 , m3989 (m3990) f4556 m4554 f4555 (f3325) m3349 f3992 , FDHMMSD, 3989 3992, 4554 4556, G0, 1, G0, 2, 3, 4
1883, 3989, m, 3992, f, 4554, m, 4556, f, 3989 3991 4556 4554 4555 3324 3349 3992 , m3989 (f3991) f4556 m4554 f4555 (m3324) m3349 f3992 , MDHMFSD, 3989 3992, 4554 4556, G0, 1, G0, 2, 3, 4
1884, 3989, m, 3992, f, 4554, m, 4556, f, 3989 3991 4556 4554 4555 3325 3349 3992 , m3989 (f3991) f4556 m4554 f4555 (f3325) m3349 f3992 , MDHMMSD, 3989 3992, 4554 4556, G0, 1, G0, 2, 3, 4
1885, 4326, m, 4327, f, 4340, m, 4341, f, 4326 6051 7728 5002 4341 4340 5000 4327 , m4326 f6051 (m7728) m5002 f4341 m4340 (m5000) f4327 , MFSDHFD, 4326 4327, 4340 4341, G0, 2, G0, 1, 5, 2
1886, 4326, m, 4327, f, 4340, m, 4341, f, 4326 6051 7728 5002 4341 4340 5001 4327 , m4326 f6051 (m7728) m5002 f4341 m4340 (f5001) f4327 , MFSDHMD, 4326 4327, 4340 4341, G0, 2, G0, 1, 5, 2
1887, 4326, m, 4327, f, 4340, m, 4341, f, 4326 6051 7729 5002 4341 4340 5000 4327 , m4326 f6051 (f7729) m5002 f4341 m4340 (m5000) f4327 , MMSDHFD, 4326 4327, 4340 4341, G0, 2, G0, 1, 5, 2
1888, 4326, m, 4327, f, 4340, m, 4341, f, 4326 6051 7729 5002 4341 4340 5001 4327 , m4326 f6051 (f7729) m5002 f4341 m4340 (f5001) f4327 , MMSDHMD, 4326 4327, 4340 4341, G0, 2, G0, 1, 5, 2
1889, 4543, m, 4545, f, 4992, m, 4993, f, 4543 4324 6051 7728 5002 4994 4993 4992 4331 4332 6772 7169 4402 4400 4545 , m4543 m4324 f6051 (m7728) m5002 f4994 f4993 m4992 f4331 m4332 (m6772) m7169 f4402 f4400 f4545 , FMFSDDHMFFSDDD, 4543 4545, 4992 4993, G0, 3, G-1, 3, 7, 7
1890, 4543, m, 4545, f, 4992, m, 4993, f, 4543 4324 6051 7728 5002 4994 4993 4992 4331 4332 6773 7169 4402 4400 4545 , m4543 m4324 f6051 (m7728) m5002 f4994 f4993 m4992 f4331 m4332 (f6773) m7169 f4402 f4400 f4545 , FMFSDDHMFMSDDD, 4543 4545, 4992 4993, G0, 3, G-1, 3, 7, 7
1891, 4543, m, 4545, f, 4992, m, 4993, f, 4543 4324 6051 7729 5002 4994 4993 4992 4331 4332 6772 7169 4402 4400 4545 , m4543 m4324 f6051 (f7729) m5002 f4994 f4993 m4992 f4331 m4332 (m6772) m7169 f4402 f4400 f4545 , FMMSDDHMFFSDDD, 4543 4545, 4992 4993, G0, 3, G-1, 3, 7, 7
1892, 4543, m, 4545, f, 4992, m, 4993, f, 4543 4324 6051 7729 5002 4994 4993 4992 4331 4332 6773 7169 4402 4400 4545 , m4543 m4324 f6051 (f7729) m5002 f4994 f4993 m4992 f4331 m4332 (f6773) m7169 f4402 f4400 f4545 , FMMSDDHMFMSDDD, 4543 4545, 4992 4993, G0, 3, G-1, 3, 7, 7
1899, 6205, m, 8357, f, 5077, m, 6700, f, 6205 7858 6700 5077 6570 8357 , m6205 (m7858) f6700 m5077 (m6570) f8357 , FDHFD, 6205 8357, 5077 6700, G0, 1, G0, 1, 3, 2
1900, 6205, m, 8357, f, 5077, m, 6700, f, 6205 7859 6700 5077 6570 8357 , m6205 (f7859) f6700 m5077 (m6570) f8357 , MDHFD, 6205 8357, 5077 6700, G0, 1, G0, 1, 3, 2
1901, 6205, m, 8357, f, 5077, m, 6700, f, 6205 7858 6700 5077 6571 8357 , m6205 (m7858) f6700 m5077 (f6571) f8357 , FDHMD, 6205 8357, 5077 6700, G0, 1, G0, 1, 3, 2
1902, 6205, m, 8357, f, 5077, m, 6700, f, 6205 7859 6700 5077 6571 8357 , m6205 (f7859) f6700 m5077 (f6571) f8357 , MDHMD, 6205 8357, 5077 6700, G0, 1, G0, 1, 3, 2
